score,votes,runtime,budget,gross,movie_status
6.7,29000.0,116.0,10000000.0,10853418.0,Flop
6.9,27000.0,97.0,7000000.0,95461682.0,Hit
7.8,19000.0,110.0,,5073.0,Flop
5.8,7300.0,91.0,,15965924.0,Flop
6.6,11000.0,94.0,3000000.0,,Flop
6.9,47000.0,92.0,11000000.0,31672907.0,Hit
6.6,32000.0,91.0,1000000.0,17985893.0,Hit
6.7,16000.0,109.0,18000000.0,14110013.0,Flop
6.9,5300.0,109.0,3000000.0,1752634.0,Flop
7.3,21000.0,100.0,12500000.0,20962615.0,Flop
5.6,19000.0,108.0,5000000.0,20471382.0,Hit
6.7,15000.0,129.0,5000000.0,19032261.0,Hit
5.2,3400.0,87.0,2800000.0,26279000.0,Hit
6.6,22000.0,122.0,12000000.0,12376625.0,Flop
7.3,9000.0,155.0,,14920781.0,Flop
5.6,5200.0,100.0,2500000.0,8279042.0,Hit
6.0,4500.0,103.0,8500000.0,6400000.0,Flop
7.4,38000.0,110.0,,5732587.0,Flop
6.6,28000.0,109.0,16000000.0,17374595.0,Flop
7.2,17000.0,106.0,,,Flop
6.4,5700.0,122.0,12000000.0,14867086.0,Flop
6.8,21000.0,87.0,400000.0,123843.0,Flop
6.3,7900.0,110.0,,23371905.0,Flop
6.3,19000.0,90.0,,5672031.0,Flop
5.9,13000.0,96.0,,7886857.0,Flop
6.5,5700.0,107.0,26000000.0,636796.0,Flop
7.0,13000.0,124.0,,26890068.0,Flop
7.2,14000.0,97.0,,31206251.0,Flop
6.3,7500.0,108.0,10000000.0,12850276.0,Flop
6.1,4900.0,93.0,8000000.0,,Flop
6.4,18000.0,99.0,5000000.0,19905359.0,Hit
6.2,7100.0,88.0,,37000000.0,Flop
6.3,5600.0,122.0,,35610100.0,Flop
5.6,7600.0,94.0,8500000.0,29916207.0,Hit
5.9,1300.0,87.0,,237000.0,Flop
7.1,9900.0,112.0,,17583634.0,Flop
6.3,9400.0,115.0,17000000.0,10626725.0,Flop
5.5,4400.0,86.0,,5165432.0,Flop
7.5,7600.0,167.0,8600000.0,8124257.0,Flop
5.5,5700.0,104.0,,2447576.0,Flop
6.2,4800.0,103.0,,15578237.0,Flop
7.2,12000.0,117.0,,110014.0,Flop
5.8,2600.0,92.0,,5229643.0,Flop
6.7,5800.0,125.0,,29200000.0,Flop
6.0,2400.0,84.0,800000.0,1118634.0,Flop
6.2,4100.0,93.0,,,Flop
